,ADDRESS,STATE,CITY,ZIP,latitude,longitude,COSTCO_HEARING_CENTER
95,2660 PARK CENTER DR,CA,SIMI VALLEY,93065,34.282956,-118.79738,Yes
96,5700 LINDERO CANYON RD,CA,WESTLAKE VILLAGE,91362,34.1527,-118.797152,Yes
97,1445 R ST,CA,MERCED,95340,37.301896,-120.494021,Yes
98,2001 E VENTURA BLVD,CA,OXNARD,93036,34.2237,-119.15018,Yes
99,1800 CAVITT DR,CA,FOLSOM,95630,38.64604,-121.11105,Yes
100,2955 N TEGNER RD,CA,TURLOCK,95380,37.520322,-120.887638,Yes
101,6750 STANFORD RANCH RD,CA,ROSEVILLE,95678,38.7818,-121.26572,Yes
102,11260 WHITE ROCK RD,CA,RANCHO CORDOVA,95742,38.589992,-121.263768,Yes
103,7000 AUBURN BLVD,CA,CITRUS HEIGHTS,95621,38.692449,-121.296761,Yes
104,3801 PELANDALE AVE,CA,MODESTO,95356,37.70012,-121.06609,Yes
105,2680 REYNOLDS RANCH PKWY,CA,LODI,95240,38.099813,-121.266331,Yes
106,7981 E STOCKTON BLVD,CA,SACRAMENTO,95823,38.467519,-121.415378,Yes
107,1616 E HAMMER LN,CA,STOCKTON,95210,38.020832,-121.292427,Yes
108,1600 EXPO PKWY,CA,SACRAMENTO,95815,38.5975,-121.4525,Yes
109,7400 ELK GROVE BLVD,CA,ELK GROVE,95757,38.4087315,-121.4095122,Yes
110,2440 DANIELS ST,CA,MANTECA,95337,37.786333,-121.256003,Yes
111,7095 MARKET PLACE DR,CA,GOLETA,93117,34.42802,-119.87348,Yes
112,2100 DR MLK JR PKWY,CA,CHICO,95928,39.723047,-121.810109,Yes
113,2299 BRONZE STAR DR,CA,WOODLAND,95776,38.673269,-121.723721,Yes
114,3250 W GRANT LINE RD,CA,TRACY,95304,37.75405,-121.475661,Yes
115,1700 S. BRADLEY RD.,CA,SANTA MARIA,93454,34.924557,-120.419403,Yes
116,1540 FROOM RANCH WAY,CA,SAN LUIS OBISPO,93405,35.25182,-120.688876,Yes
117,4805 BECHELLI LANE,CA,REDDING,96002,,,Yes
118,1300 DANA DR,CA,REDDING,96003,40.58575,-122.34735,Yes
119,2201 VERNE ROBERTS CIR,CA,ANTIOCH,94509,38.00997,-121.832833,Yes
